asset_id,b,kappa,half_life_days,mu,sigma_eps,n_obs
A000001,0.26416,1.331199,0.520694,5.065209,20.778115,484
A000002,0.039514,3.231098,0.214524,2.225261,8.630266,483
A000003,0.015376,4.174947,0.166025,25.827235,99.688962,478
A000004,0.089095,2.41805,0.286655,1.295847,30.335764,484
A000005,0.129529,2.043848,0.339138,0.105601,0.927995,484
A000006,0.106337,2.24114,0.309283,3.097043,21.968936,484
A000007,0.186419,1.679758,0.412647,0.106801,1.375827,484
A000008,0.247472,1.396456,0.496362,3.377196,8.851089,484
A000009,0.169527,1.774745,0.390562,0.551953,1.891785,476
A000010,0.075914,2.578159,0.268854,0.765976,6.067201,474
A000011,0.155045,1.864039,0.371852,34.28466,228.177658,484
A000012,0.268829,1.313681,0.527638,2.80225,12.859134,484
A000013,0.098836,2.314294,0.299507,26.987219,183.91475,483
A000014,0.106728,2.237475,0.30979,0.123394,1.156078,484
A000015,0.036686,3.305361,0.209704,-0.043493,1.314583,483
A000016,1e-06,13.815511,0.050172,0.367389,4.203537,309
A000017,0.141789,1.953413,0.354839,2.341139,19.125451,484
A000018,0.115369,2.159615,0.320959,13.327769,44.521523,484
A000019,0.107808,2.227403,0.311191,0.251676,1.876914,484
A000020,0.143837,1.939074,0.357463,0.937655,15.083517,484
A000021,0.011474,4.467694,0.155147,0.088405,0.74537,484
A000022,0.068627,2.679066,0.258727,-0.003181,1.570564,484
A000023,0.144153,1.936882,0.357868,1.657816,4.879122,484
A000024,0.201109,1.603908,0.432161,0.679665,2.874225,484
A000026,1e-06,13.815511,0.050172,0.879973,3.346072,484
A000027,0.076638,2.568658,0.269848,1.143116,4.035701,484
A000028,0.333953,1.096754,0.631999,-0.102025,1.411028,376
A000029,0.205276,1.583399,0.437759,3.020681,13.534371,484
A000030,0.098343,2.319297,0.298861,1.423229,7.130795,484
A000031,0.083501,2.482898,0.279169,-0.007308,0.069089,317
A000032,0.044416,3.114162,0.222579,0.069976,0.596631,484
A000033,0.060331,2.807903,0.246856,1.578469,8.8563,484
A000034,0.182057,1.703435,0.406912,-1.221936,10.87626,473
A000035,0.309201,1.173765,0.590533,0.17463,3.383174,484
A000036,0.036761,3.303329,0.209833,-0.002622,0.465697,484
A000037,1e-06,13.815511,0.050172,0.006152,0.382655,484
A000038,0.14801,1.910472,0.362815,-0.067464,0.377338,135
A000039,0.115381,2.159512,0.320974,2.868004,8.885123,484
A000040,0.009482,4.658404,0.148795,0.161519,1.054733,484
A000041,0.087737,2.433415,0.284845,1.243897,7.051749,484
A000042,0.123401,2.092313,0.331283,0.319847,1.824321,484
A000043,0.472064,0.750641,0.923407,-29.008423,597.02323,217
A000044,0.134833,2.003717,0.345931,0.066271,2.911828,484
A000045,0.15053,1.893594,0.366049,-0.516448,13.615867,484
A000046,0.083167,2.486907,0.278719,1.416457,4.822713,484
A000047,0.159834,1.833622,0.378021,0.406022,4.68332,484
A000048,0.008746,4.73914,0.14626,0.287828,1.489558,484
A000049,1e-06,13.815511,0.050172,-0.150705,0.360303,72
A000050,0.067343,2.697952,0.256916,1.16541,6.967932,484
A000051,0.174163,1.747765,0.396591,0.748625,2.942193,484
A000052,0.030543,3.488611,0.198689,-0.012844,0.189765,484
A000053,0.112554,2.184324,0.317328,0.478777,1.73849,484
A000054,0.134755,2.004295,0.345831,0.274732,1.756356,484
A000055,0.261295,1.342105,0.516463,0.288676,0.720259,343
A000056,0.068223,2.68498,0.258157,0.643807,4.478892,484
A000057,0.157164,1.850465,0.37458,0.083374,0.907289,416
A000058,0.016023,4.133723,0.167681,0.001154,1.042054,484
A000059,0.137107,1.986993,0.348842,0.5926,2.436287,484
A000060,1e-06,13.815511,0.050172,0.009954,0.320502,323
A000061,0.235161,1.447485,0.478863,-0.021927,0.280195,484
A000062,0.116148,2.152889,0.321961,12.402589,63.161313,484
A000063,0.048542,3.025318,0.229115,0.100272,2.226589,484
A000064,0.135033,2.002234,0.346187,-0.035345,0.131932,80
A000065,0.27579,1.288114,0.53811,6.563315,38.094899,484
A000066,0.097704,2.325815,0.298023,1.43714,5.280115,484
A000067,0.175495,1.740144,0.398328,1.121799,5.838242,484
A000068,0.145903,1.924815,0.360111,0.415146,2.303463,484
A000069,0.096874,2.334343,0.296935,1.650762,5.539188,484
A000070,0.063057,2.763709,0.250803,0.040837,8.222332,474
A000071,0.168919,1.778335,0.389773,1.35891,15.787357,474
A000072,0.085471,2.459584,0.281815,0.180579,1.416995,484
A000073,0.035671,3.333417,0.207939,0.049326,0.366371,484
A000074,0.051784,2.960672,0.234118,0.132373,2.432438,484
A000075,0.067274,2.698975,0.256819,0.034591,0.360691,484
A000076,1e-06,13.815511,0.050172,0.075404,1.114333,484
A000077,0.19359,1.642015,0.422132,0.627075,2.855497,484
A000078,0.138704,1.975414,0.350887,0.238625,0.746705,484
A000079,0.073759,2.606947,0.265885,-0.003774,0.200625,484
A000080,1e-06,13.815511,0.050172,0.390871,2.386738,484
A000081,0.24454,1.408376,0.49216,6.487045,23.317436,484
A000082,0.203516,1.592011,0.435391,2.618117,17.10102,484
A000083,0.22295,1.500806,0.46185,0.019489,0.195322,484
A000084,0.079601,2.530727,0.273893,0.053774,1.012533,484
A000085,0.192175,1.649346,0.420256,1.034972,13.45975,484
A000086,0.184393,1.690685,0.40998,0.292646,1.295543,484
A000087,0.165122,1.801071,0.384853,15.693763,54.673526,484
A000088,1e-06,13.815511,0.050172,0.079532,0.812314,222
A000090,0.237675,1.43685,0.482407,0.014808,4.268003,484
A000091,0.106816,2.236646,0.309905,-0.107307,2.791951,434
A000092,0.011867,4.43401,0.156325,0.09704,0.880701,484
A000093,0.24255,1.416546,0.489322,8.836406,57.147586,484
A000094,0.034974,3.353147,0.206715,16.401471,108.115711,484
A000095,0.074925,2.591272,0.267493,2.774313,10.546674,484
A000096,0.13264,2.020116,0.343122,0.040758,0.778274,484
A000097,0.185694,1.683657,0.411691,0.002073,0.413746,242
A000098,0.093567,2.369078,0.292581,0.014949,0.111076,484
A000099,0.002595,5.954254,0.116412,4.667482,55.35986,484
A000100,0.108829,2.217975,0.312514,-0.219744,4.693572,484
A000101,0.010171,4.588208,0.151071,0.156503,0.774182,484
A000102,1e-06,13.815511,0.050172,0.129315,0.73336,484
A000103,0.157832,1.846222,0.375441,0.054438,0.408894,474
A000104,0.071487,2.638242,0.262731,4.361809,31.042748,484
A000105,0.120247,2.118205,0.327233,0.136784,1.121563,455
A000106,0.136054,1.9947,0.347494,0.078696,0.644783,439
A000107,0.079318,2.534294,0.273507,0.050752,0.510851,484
A000108,0.096929,2.333778,0.297007,1.361587,11.248399,484
A000109,0.170686,1.767927,0.392068,0.375042,2.770137,482
A000110,0.166748,1.791274,0.386958,0.454058,1.460283,484
A000111,0.074466,2.597413,0.266861,3.516342,11.502793,316
A000112,0.133458,2.013969,0.34417,0.301639,1.364719,484
A000113,0.041832,3.174096,0.218376,1.693662,7.242868,484
A000114,0.179411,1.718076,0.403444,1.59823,9.805453,484
A000115,0.303968,1.190831,0.58207,0.394675,1.955753,484
A000116,1e-06,13.815511,0.050172,0.096983,0.669081,289
A000117,0.057786,2.85101,0.243123,2.753239,6.850147,459
A000118,0.155624,1.860312,0.372597,0.168791,0.91328,473
A000119,0.095751,2.346008,0.295458,0.028475,0.219072,423
A000120,0.100643,2.296172,0.301871,-0.016209,0.813093,479
A000121,0.06264,2.770353,0.250202,0.301966,1.806903,484
A000122,0.056997,2.864751,0.241957,0.019536,0.470758,484
A000123,0.0344,3.369685,0.205701,0.045494,1.326206,484
A000124,1e-06,13.815511,0.050172,0.213629,2.095736,484
A000125,1e-06,13.815511,0.050172,5.191699,19.135873,484
A000126,0.072826,2.619676,0.264593,0.459159,2.12083,474
A000127,1e-06,13.815511,0.050172,0.004311,0.073151,484
A000128,0.114721,2.165249,0.320124,1.059763,5.204882,484
A000129,0.206756,1.576217,0.439754,-0.011098,0.132782,484
A000130,0.126151,2.070273,0.33481,0.055862,0.634082,484
A000131,0.185365,1.68543,0.411258,0.056541,0.516243,484
A000132,0.090183,2.405913,0.288101,0.115181,0.899454,484
A000133,0.217793,1.52421,0.454758,3.290639,31.112327,484
A000134,0.167914,1.784305,0.388469,2.023576,6.554018,484
A000135,0.107801,2.227466,0.311182,0.214762,2.396616,484
A000136,0.141657,1.954349,0.354669,7.71749,16.911535,478
A000137,0.137692,1.982738,0.349591,1.178402,7.877925,484
A000138,0.170555,1.768698,0.391897,0.010954,0.362624,484
A000139,0.112061,2.188714,0.316692,0.365573,11.778497,484
A000140,1e-06,13.815511,0.050172,0.247582,1.113988,484
A000141,0.072753,2.620683,0.264491,0.129921,0.734494,484
A000142,0.0565,2.87352,0.241219,-0.057034,1.69647,484
A000143,1e-06,13.815511,0.050172,0.213584,1.603048,484
A000144,0.271112,1.305222,0.531057,0.05218,1.033308,484
A000145,0.083735,2.480101,0.279483,0.10041,0.626757,484
A000146,0.107986,2.225758,0.311421,-0.013449,0.361484,484
A000147,0.165962,1.795999,0.38594,26.173046,97.950641,484
A000149,0.082311,2.49725,0.277564,0.294339,2.276635,484
A000150,0.129044,2.047602,0.338517,0.147014,1.27061,385
